timestamp,location,vehicle_type,base_price,traffic_level,occupancy_rate,weather,day_of_week,is_holiday,demand_level
2024-02-08 13:19:00,Zone B,Bus,89.11,Low,0.98,Clear,Thursday,0,87.33
2024-02-06 15:32:00,Zone C,Bike,84.05,Low,0.7,Rain,Tuesday,0,58.83
2024-01-18 07:31:00,Zone C,Bus,31.21,Low,0.54,Fog,Thursday,1,16.85
2024-01-23 17:42:00,Zone A,Bus,84.64,High,0.82,Clear,Tuesday,0,104.11
2024-02-29 08:37:00,Zone C,Car,97.52,Low,0.52,Rain,Thursday,1,50.71
2024-02-14 04:53:00,Zone B,Truck,89.17,Low,0.73,Rain,Wednesday,1,65.09
2024-01-01 04:42:00,Zone B,Bike,94.12,Medium,0.41,Fog,Monday,1,46.31
2024-03-04 09:43:00,Zone C,Bus,32.38,Medium,0.5,Rain,Monday,0,19.43
2024-02-22 17:14:00,Zone C,Car,79.84,Low,0.73,Clear,Thursday,1,58.28
2024-02-15 18:29:00,Zone C,Truck,24.55,High,0.81,Clear,Thursday,0,29.83
2024-01-07 05:41:00,Zone C,Car,74.02,Low,0.73,Storm,Sunday,0,54.03
2024-02-21 20:28:00,Zone A,Car,69.55,Medium,0.68,Fog,Wednesday,1,56.75
2024-01-19 14:12:00,Zone C,Bike,39.09,Medium,0.65,Rain,Friday,1,30.49
2024-02-11 14:49:00,Zone B,Car,20.75,High,0.48,Clear,Sunday,0,14.94
2024-02-18 22:28:00,Zone A,Bike,30.6,Medium,0.59,Clear,Sunday,0,21.66
2024-02-03 15:14:00,Zone B,Truck,55.05,High,0.63,Fog,Saturday,0,52.02
2024-03-01 18:58:00,Zone C,Bike,94.54,Low,0.86,Rain,Friday,1,81.3
2024-01-11 12:09:00,Zone A,Truck,41.79,High,0.75,Rain,Thursday,1,47.01
2024-01-19 12:45:00,Zone C,Bike,60.43,Medium,0.44,Clear,Friday,0,31.91
2024-02-27 17:36:00,Zone B,Bike,23.53,Medium,0.75,Rain,Tuesday,1,21.18
2024-01-15 16:58:00,Zone C,Bus,64.13,Medium,0.64,Clear,Monday,0,49.25
2024-01-07 20:22:00,Zone C,Truck,63.65,Medium,0.6,Rain,Sunday,1,45.83
2024-01-12 14:24:00,Zone A,Bike,49.17,Low,0.79,Fog,Friday,0,38.84
2024-03-03 01:59:00,Zone A,Car,48.29,High,0.85,Storm,Sunday,0,61.57
2024-01-22 13:09:00,Zone A,Truck,90.51,Low,0.84,Rain,Monday,1,76.03
2024-02-07 11:24:00,Zone C,Truck,41.34,High,0.57,Clear,Wednesday,1,35.35
2024-01-04 12:35:00,Zone B,Truck,35.97,Medium,0.65,Fog,Thursday,1,28.06
2024-01-21 17:11:00,Zone A,Car,72.8,Medium,0.75,Fog,Sunday,1,65.52
2024-01-07 07:39:00,Zone B,Bike,71.32,Medium,0.85,Fog,Sunday,0,72.75
2024-01-11 11:58:00,Zone B,Truck,66.45,Medium,0.63,Clear,Thursday,0,50.24
2024-02-24 07:13:00,Zone B,Bike,78.28,Medium,0.67,Storm,Saturday,0,62.94
2024-02-05 01:28:00,Zone C,Truck,40.38,High,0.53,Storm,Monday,0,32.1
2024-02-17 07:46:00,Zone C,Truck,49.14,Low,0.52,Fog,Saturday,1,25.55
2024-03-01 09:11:00,Zone A,Bike,60.57,High,0.82,Storm,Friday,1,74.5
2024-02-06 15:03:00,Zone C,Bike,64.35,Low,0.9,Storm,Tuesday,1,57.92
2024-03-02 15:37:00,Zone C,Truck,69.24,Medium,0.69,Storm,Saturday,0,57.33
2024-01-28 15:49:00,Zone B,Truck,54.39,High,0.85,Fog,Sunday,1,69.35
2024-02-10 05:05:00,Zone B,Truck,60.89,High,0.75,Rain,Saturday,0,68.5
2024-01-26 19:56:00,Zone C,Bike,27.47,Low,0.6,Fog,Friday,0,16.48
2024-01-19 03:00:00,Zone A,Car,23.7,Medium,0.75,Clear,Friday,1,21.33
2024-02-07 17:21:00,Zone C,Truck,77.47,Medium,0.93,Storm,Wednesday,1,86.46
2024-01-23 04:59:00,Zone A,Car,91.41,Low,0.69,Storm,Tuesday,0,63.07
2024-01-17 00:13:00,Zone C,Bus,24.02,Low,0.93,Clear,Wednesday,1,22.34
2024-01-13 03:17:00,Zone B,Bike,96.0,Medium,0.31,Storm,Saturday,1,35.71
2024-01-15 11:41:00,Zone C,Bus,56.01,Low,0.82,Fog,Monday,1,45.93
2024-02-27 01:09:00,Zone A,Bike,55.19,High,0.71,Fog,Tuesday,0,58.78
2024-01-25 17:34:00,Zone B,Bike,91.44,Low,0.66,Rain,Thursday,0,60.35
2024-01-22 01:11:00,Zone B,Truck,76.51,Low,0.71,Storm,Monday,1,54.32
2024-01-31 02:49:00,Zone C,Bus,53.26,Low,0.4,Storm,Wednesday,1,21.3
2024-02-23 03:56:00,Zone C,Car,88.54,High,0.67,Storm,Friday,1,88.98
2024-01-01 12:52:00,Zone B,Bike,80.28,Medium,0.75,Rain,Monday,1,72.25
2024-01-20 23:20:00,Zone B,Bus,58.85,Medium,0.92,Fog,Saturday,1,64.97
2024-03-06 21:59:00,Zone A,Bus,93.56,High,0.62,Clear,Wednesday,1,87.01
2024-02-23 21:00:00,Zone C,Car,26.72,Medium,0.58,Rain,Friday,1,18.6
2024-01-17 12:59:00,Zone A,Bike,50.33,Low,0.62,Storm,Wednesday,1,31.2
2024-01-31 17:16:00,Zone B,Bike,80.16,Medium,0.84,Fog,Wednesday,0,80.8
2024-02-12 19:24:00,Zone A,Car,99.99,Medium,0.75,Rain,Monday,0,89.99
2024-02-29 07:46:00,Zone A,Car,95.97,Low,0.62,Clear,Thursday,0,59.5
2024-01-22 17:06:00,Zone A,Bus,73.56,High,0.78,Rain,Monday,1,86.07
2024-03-04 16:00:00,Zone B,Bike,33.42,High,0.71,Clear,Monday,0,35.59
2024-01-29 07:28:00,Zone A,Car,94.31,High,0.85,Storm,Monday,1,120.25
2024-03-06 01:58:00,Zone A,Car,67.37,High,0.59,Rain,Wednesday,0,59.62
2024-03-04 11:02:00,Zone B,Car,83.7,High,0.65,Clear,Monday,1,81.61
2024-02-18 11:47:00,Zone B,Bike,25.52,High,0.64,Fog,Sunday,0,24.5
2024-02-08 05:37:00,Zone B,Car,54.68,Medium,0.48,Storm,Thursday,0,31.5
2024-02-09 15:20:00,Zone A,Bike,69.27,High,0.74,Storm,Friday,1,76.89
2024-02-09 15:31:00,Zone C,Bike,45.78,Low,0.74,Clear,Friday,1,33.88
2024-02-11 00:47:00,Zone A,Bus,65.59,High,0.7,Storm,Sunday,1,68.87
2024-01-03 14:41:00,Zone B,Bike,34.55,Low,0.66,Fog,Wednesday,1,22.8
2024-01-31 23:28:00,Zone B,Bike,64.46,High,0.49,Rain,Wednesday,0,47.38
2024-01-22 23:15:00,Zone C,Bus,59.09,Low,0.64,Storm,Monday,1,37.82
2024-02-10 19:03:00,Zone A,Car,43.54,Medium,0.65,Rain,Saturday,1,33.96
2024-03-01 10:26:00,Zone C,Bike,57.86,High,0.58,Fog,Friday,1,50.34
2024-03-08 21:31:00,Zone C,Bike,48.14,Medium,0.68,Fog,Friday,1,39.28
2024-01-23 21:11:00,Zone A,Car,77.7,Medium,0.76,Clear,Tuesday,0,70.86
2024-01-18 10:25:00,Zone A,Bus,42.12,High,0.98,Fog,Thursday,0,61.92
2024-01-18 16:03:00,Zone B,Truck,48.87,Medium,0.73,Clear,Thursday,0,42.81
2024-01-25 23:14:00,Zone A,Car,64.27,High,0.74,Rain,Thursday,1,71.34
2024-01-10 08:06:00,Zone A,Bike,57.55,Medium,0.69,Fog,Wednesday,0,47.65
2024-01-05 16:14:00,Zone B,Bus,29.13,Low,0.41,Storm,Friday,1,11.94
2024-01-07 17:50:00,Zone C,Car,32.14,High,0.7,Fog,Sunday,0,33.75
2024-01-23 14:10:00,Zone A,Bus,68.51,High,0.71,Rain,Tuesday,1,72.96
2024-02-11 00:09:00,Zone B,Bike,88.81,Medium,1.0,Fog,Sunday,0,106.57
2024-02-25 11:45:00,Zone C,Car,95.81,Low,0.67,Rain,Sunday,1,64.19
2024-03-01 02:43:00,Zone A,Truck,39.19,High,0.75,Clear,Friday,0,44.09
2024-01-01 05:50:00,Zone B,Bus,75.15,Medium,0.69,Fog,Monday,0,62.22
2024-01-22 01:40:00,Zone B,Bike,76.24,Medium,0.52,Clear,Monday,0,47.57
2024-01-25 01:55:00,Zone C,Truck,54.01,High,0.87,Rain,Thursday,0,70.48
2024-01-25 04:16:00,Zone A,Car,24.77,Medium,0.81,Fog,Thursday,1,24.08
2024-01-12 07:39:00,Zone B,Bike,75.98,Medium,0.82,Storm,Friday,1,74.76
2024-01-08 07:43:00,Zone C,Car,91.15,High,0.56,Fog,Monday,1,76.57
2024-01-03 08:30:00,Zone A,Truck,96.95,High,0.91,Clear,Wednesday,1,132.34
2024-02-22 10:49:00,Zone A,Truck,57.64,High,0.49,Storm,Thursday,1,42.37
2024-01-17 12:28:00,Zone C,Bus,70.78,Medium,0.79,Clear,Wednesday,1,67.1
2024-02-01 16:07:00,Zone B,Bike,45.68,Low,1.0,Rain,Thursday,1,45.68
2024-02-07 11:15:00,Zone C,Bus,43.06,Medium,0.55,Clear,Wednesday,1,28.42
2024-01-09 00:22:00,Zone B,Bike,45.86,Medium,0.62,Clear,Tuesday,1,34.12
2024-02-07 14:45:00,Zone A,Truck,61.48,High,0.71,Storm,Wednesday,1,65.48
2024-03-10 04:13:00,Zone A,Truck,41.36,Low,0.62,Fog,Sunday,1,25.64
2024-03-04 13:21:00,Zone B,Car,22.31,High,0.47,Rain,Monday,0,15.73
2024-01-29 06:50:00,Zone C,Car,64.18,Low,0.71,Rain,Monday,0,45.57
2024-02-12 00:02:00,Zone A,Truck,59.87,High,0.54,Fog,Monday,1,48.49
2024-02-07 19:39:00,Zone B,Bus,39.5,High,0.77,Rain,Wednesday,1,45.62
2024-01-18 08:23:00,Zone C,Truck,89.12,Medium,0.56,Storm,Thursday,1,59.89
2024-02-16 05:10:00,Zone B,Car,42.63,Medium,0.93,Storm,Friday,0,47.58
2024-02-10 15:29:00,Zone C,Bus,47.61,High,0.58,Storm,Saturday,1,41.42
2024-01-30 06:56:00,Zone A,Truck,65.74,Low,0.65,Storm,Tuesday,0,42.73
2024-01-29 23:04:00,Zone C,Bus,76.42,Medium,0.82,Storm,Monday,0,75.2
2024-02-15 02:03:00,Zone A,Truck,60.18,High,0.52,Fog,Thursday,0,46.94
2024-02-10 01:51:00,Zone A,Bus,21.23,Low,0.73,Storm,Saturday,0,15.5
2024-01-07 19:27:00,Zone B,Bike,47.08,High,0.9,Storm,Sunday,0,63.56
2024-01-30 21:45:00,Zone C,Bus,96.33,High,0.46,Storm,Tuesday,0,66.47
2024-02-26 04:51:00,Zone A,Truck,70.49,Medium,0.73,Rain,Monday,0,61.75
2024-02-09 12:01:00,Zone A,Car,55.49,High,0.74,Fog,Friday,0,61.59
2024-01-05 04:28:00,Zone B,Car,43.47,Medium,0.82,Storm,Friday,0,42.77
2024-01-23 05:27:00,Zone C,Bus,65.27,Low,0.51,Rain,Tuesday,0,33.29
2024-01-08 04:30:00,Zone C,Bus,69.58,Low,0.5,Storm,Monday,0,34.79
2024-01-22 03:13:00,Zone B,Bike,56.77,High,0.78,Clear,Monday,1,66.42
2024-01-27 04:20:00,Zone C,Truck,25.91,Medium,0.74,Fog,Saturday,1,23.01
2024-03-03 20:00:00,Zone B,Bus,87.62,Low,0.74,Storm,Sunday,1,64.84
2024-01-10 16:59:00,Zone A,Bus,65.75,High,0.75,Fog,Wednesday,1,73.97
2024-01-02 23:55:00,Zone C,Bus,41.96,High,0.6,Clear,Tuesday,1,37.76
2024-01-27 01:12:00,Zone A,Bike,37.52,Low,0.73,Fog,Saturday,0,27.39
2024-02-27 04:25:00,Zone A,Car,44.71,Medium,0.74,Clear,Tuesday,1,39.7
2024-03-07 15:51:00,Zone A,Car,92.77,Medium,0.59,Storm,Thursday,0,65.68
2024-01-19 06:38:00,Zone A,Bike,62.47,Medium,0.98,Rain,Friday,1,73.46
2024-02-13 20:36:00,Zone B,Bike,84.34,Medium,0.77,Clear,Tuesday,0,77.93
2024-03-09 15:28:00,Zone A,Bus,97.38,High,0.52,Fog,Saturday,0,75.96
2024-02-05 21:57:00,Zone A,Bike,62.93,Medium,0.8,Fog,Monday,1,60.41
2024-02-23 04:59:00,Zone B,Bike,28.67,Low,0.55,Storm,Friday,0,15.77
2024-02-26 09:25:00,Zone C,Bike,93.22,Low,0.82,Clear,Monday,1,76.44
2024-03-04 19:31:00,Zone B,Bus,29.33,Low,0.87,Clear,Monday,1,25.52
2024-02-14 20:09:00,Zone A,Car,38.78,High,0.58,Rain,Wednesday,1,33.74
2024-02-11 06:59:00,Zone B,Bus,66.99,High,0.84,Rain,Sunday,1,84.41
2024-02-29 14:41:00,Zone A,Bus,69.25,Medium,0.76,Clear,Thursday,1,63.16
2024-01-20 18:37:00,Zone B,Bus,96.04,Medium,0.82,Clear,Saturday,1,94.5
2024-02-19 13:24:00,Zone C,Bike,24.84,Medium,0.98,Rain,Monday,0,29.21
2024-02-11 09:20:00,Zone A,Truck,71.34,High,0.66,Clear,Sunday,0,70.63
2024-01-31 08:33:00,Zone A,Truck,82.96,Low,0.59,Clear,Wednesday,0,48.95
2024-02-23 08:58:00,Zone A,Truck,46.28,Low,0.57,Clear,Friday,1,26.38
2024-01-14 04:04:00,Zone A,Bike,83.88,Low,0.58,Clear,Sunday,0,48.65
2024-01-02 08:27:00,Zone B,Truck,67.11,Low,0.69,Rain,Tuesday,1,46.31
2024-01-05 18:28:00,Zone A,Bus,62.09,High,0.75,Clear,Friday,1,69.85
2024-02-10 19:16:00,Zone B,Car,56.16,Low,0.74,Clear,Saturday,1,41.56
2024-02-11 16:36:00,Zone C,Car,24.87,Medium,0.82,Storm,Sunday,1,24.47
2024-03-03 10:48:00,Zone A,Bus,76.99,Medium,0.7,Clear,Sunday,0,64.67
2024-01-30 07:39:00,Zone C,Truck,25.25,Medium,0.92,Fog,Tuesday,1,27.88
2024-02-24 09:01:00,Zone C,Bike,56.3,High,0.66,Storm,Saturday,0,55.74
2024-03-04 21:03:00,Zone A,Truck,54.41,Low,1.0,Storm,Monday,1,54.41
2024-02-11 06:41:00,Zone B,Bus,78.37,Medium,0.79,Storm,Sunday,1,74.29
2024-03-01 12:57:00,Zone B,Bike,96.29,High,0.57,Storm,Friday,0,82.33
2024-01-09 07:17:00,Zone A,Car,54.55,High,0.54,Fog,Tuesday,0,44.19
2024-02-20 15:24:00,Zone A,Bike,73.6,Medium,0.77,Fog,Tuesday,1,68.01
2024-03-06 15:10:00,Zone A,Bike,68.03,Medium,0.67,Clear,Wednesday,0,54.7
2024-01-15 02:00:00,Zone C,Bus,37.94,Low,0.81,Fog,Monday,1,30.73
2024-01-11 10:58:00,Zone B,Truck,84.58,High,0.77,Clear,Thursday,1,97.69
2024-01-03 15:14:00,Zone A,Bike,76.22,Medium,0.69,Fog,Wednesday,1,63.11
2024-01-01 13:20:00,Zone A,Truck,65.31,Medium,0.57,Clear,Monday,0,44.67
2024-03-08 10:40:00,Zone C,Car,27.34,High,0.47,Rain,Friday,1,19.27
2024-02-08 05:08:00,Zone B,Bike,32.59,Medium,0.63,Fog,Thursday,0,24.64
2024-01-05 18:55:00,Zone A,Truck,80.35,Low,0.83,Clear,Friday,1,66.69
2024-02-10 07:59:00,Zone C,Bus,58.85,Medium,0.73,Storm,Saturday,1,51.55
2024-01-20 14:55:00,Zone C,Car,47.61,Low,0.51,Fog,Saturday,1,24.28
2024-02-17 23:06:00,Zone C,Bike,23.63,Medium,0.73,Clear,Saturday,0,20.7
2024-01-19 14:34:00,Zone B,Truck,81.39,Medium,0.76,Fog,Friday,1,74.23
2024-01-11 22:06:00,Zone A,Bus,79.76,Low,0.57,Rain,Thursday,1,45.46
2024-02-18 11:26:00,Zone C,Truck,60.02,High,0.72,Fog,Sunday,0,64.82
2024-02-06 03:24:00,Zone C,Car,54.9,Medium,0.71,Clear,Tuesday,1,46.77
2024-02-22 09:45:00,Zone B,Bus,76.76,Medium,0.53,Fog,Thursday,0,48.82
2024-02-06 20:48:00,Zone A,Bike,33.75,High,0.75,Storm,Tuesday,1,37.97
2024-01-09 00:31:00,Zone B,Car,39.47,High,0.78,Storm,Tuesday,0,46.18
2024-02-06 00:33:00,Zone B,Bike,37.73,Low,0.86,Clear,Tuesday,0,32.45
2024-02-18 07:07:00,Zone C,Truck,92.47,Medium,0.86,Fog,Sunday,0,95.43
2024-01-22 12:08:00,Zone A,Truck,40.48,Low,0.49,Rain,Monday,0,19.84
2024-01-17 02:58:00,Zone C,Bus,57.12,High,0.56,Storm,Wednesday,1,47.98
2024-02-27 02:10:00,Zone B,Truck,55.18,Medium,0.78,Storm,Tuesday,1,51.65
2024-01-26 00:02:00,Zone C,Car,48.16,Low,0.78,Fog,Friday,1,37.56
2024-02-11 03:13:00,Zone A,Car,49.5,Medium,0.78,Clear,Sunday,0,46.33
2024-02-25 23:30:00,Zone C,Bus,57.02,High,1.0,Clear,Sunday,1,85.53
2024-02-22 00:48:00,Zone C,Truck,45.72,Medium,0.79,Rain,Thursday,0,43.34
2024-02-11 00:10:00,Zone A,Bike,98.59,Low,0.87,Rain,Sunday,0,85.77
2024-01-23 13:12:00,Zone C,Bus,99.28,High,0.84,Rain,Tuesday,1,125.09
2024-02-03 22:30:00,Zone B,Bus,52.7,Medium,0.8,Clear,Saturday,1,50.59
2024-01-06 23:59:00,Zone B,Car,64.64,Medium,0.65,Fog,Saturday,1,50.42
2024-03-06 21:01:00,Zone C,Truck,46.67,High,0.81,Rain,Wednesday,1,56.7
2024-01-29 05:42:00,Zone C,Bus,30.32,High,0.58,Clear,Monday,1,26.38
2024-02-20 20:59:00,Zone B,Bike,85.05,High,0.66,Clear,Tuesday,1,84.2
2024-02-16 06:48:00,Zone B,Car,49.01,Low,0.63,Rain,Friday,1,30.88
2024-02-14 06:16:00,Zone A,Truck,100.0,Low,0.71,Clear,Wednesday,1,71.0
2024-01-10 04:56:00,Zone C,Car,72.95,High,1.0,Rain,Wednesday,1,109.43
2024-01-15 00:58:00,Zone A,Truck,86.51,High,0.42,Rain,Monday,1,54.5
2024-01-04 23:26:00,Zone B,Bike,74.11,Low,0.8,Storm,Thursday,1,59.29
2024-03-09 11:37:00,Zone C,Bus,38.72,Low,0.46,Fog,Saturday,1,17.81
2024-01-18 15:50:00,Zone B,Bus,56.93,Medium,0.63,Storm,Thursday,1,43.04
2024-01-15 18:01:00,Zone A,Truck,89.84,Low,0.86,Storm,Monday,1,77.26
2024-02-20 11:24:00,Zone A,Car,42.81,Low,0.71,Fog,Tuesday,1,30.4
2024-02-16 17:26:00,Zone A,Bus,27.34,Low,0.54,Storm,Friday,1,14.76
2024-01-03 10:15:00,Zone B,Car,51.72,Medium,0.59,Rain,Wednesday,1,36.62
2024-01-08 10:16:00,Zone B,Truck,22.26,Low,0.8,Fog,Monday,0,17.81
2024-01-13 12:35:00,Zone A,Bike,93.39,Medium,0.59,Rain,Saturday,1,66.12
2024-02-10 19:59:00,Zone C,Car,92.47,Low,0.73,Fog,Saturday,0,67.5
2024-01-14 14:37:00,Zone C,Bus,28.89,Medium,0.71,Rain,Sunday,1,24.61
2024-01-12 02:10:00,Zone A,Truck,53.59,High,0.6,Storm,Friday,0,48.23
2024-01-11 02:10:00,Zone B,Car,70.56,High,1.0,Rain,Thursday,0,105.84
2024-01-27 12:17:00,Zone B,Car,69.18,Low,0.8,Storm,Saturday,0,55.34
2024-03-01 11:20:00,Zone C,Car,61.88,Medium,0.4,Clear,Friday,0,29.7
2024-02-05 12:57:00,Zone B,Car,70.85,Medium,0.73,Fog,Monday,0,62.06
2024-02-02 12:05:00,Zone A,Bike,39.29,High,0.6,Clear,Friday,1,35.36
2024-01-13 03:26:00,Zone A,Bike,63.68,High,0.83,Rain,Saturday,1,79.28
2024-03-04 07:06:00,Zone B,Truck,84.92,Low,0.58,Storm,Monday,0,49.25
2024-01-27 17:02:00,Zone A,Car,83.29,Low,0.68,Fog,Saturday,1,56.64
2024-02-16 21:52:00,Zone B,Bus,40.27,High,0.78,Rain,Friday,1,47.12
2024-02-02 11:49:00,Zone A,Bike,41.86,Medium,0.83,Storm,Friday,1,41.69
2024-03-08 15:46:00,Zone B,Bus,47.12,Low,0.52,Storm,Friday,1,24.5
2024-02-03 10:28:00,Zone C,Bike,84.09,High,0.65,Storm,Saturday,0,81.99
2024-02-09 04:40:00,Zone C,Truck,63.64,Medium,0.63,Clear,Friday,0,48.11
2024-01-30 20:21:00,Zone C,Bike,44.52,High,0.6,Storm,Tuesday,0,40.07
2024-03-03 18:48:00,Zone B,Bike,55.77,High,0.96,Fog,Sunday,1,80.31
2024-01-25 23:46:00,Zone C,Car,26.0,High,0.76,Storm,Thursday,1,29.64
2024-02-16 16:51:00,Zone C,Truck,96.22,Low,0.51,Storm,Friday,0,49.07
2024-01-12 11:45:00,Zone A,Truck,82.28,Medium,0.84,Fog,Friday,1,82.94
2024-02-21 15:09:00,Zone A,Truck,74.32,Medium,1.0,Fog,Wednesday,1,89.18
2024-01-07 23:57:00,Zone C,Truck,62.36,Medium,0.85,Fog,Sunday,1,63.61
2024-01-23 17:17:00,Zone A,Car,78.85,Medium,0.47,Storm,Tuesday,0,44.47
2024-01-24 19:51:00,Zone B,Bus,37.17,High,0.63,Fog,Wednesday,1,35.13
2024-01-19 05:17:00,Zone A,Truck,88.23,Medium,0.89,Rain,Friday,1,94.23
2024-01-08 23:46:00,Zone C,Bike,73.43,High,0.59,Clear,Monday,1,64.99
2024-01-28 07:15:00,Zone A,Truck,83.5,High,0.77,Rain,Sunday,0,96.44
2024-01-19 07:02:00,Zone A,Truck,83.23,Low,0.82,Fog,Friday,1,68.25
2024-02-12 13:03:00,Zone C,Truck,68.96,Low,0.56,Clear,Monday,1,38.62
2024-02-06 05:47:00,Zone C,Bus,62.06,Medium,0.69,Clear,Tuesday,0,51.39
2024-01-29 20:33:00,Zone C,Car,56.0,High,0.21,Fog,Monday,0,17.64
2024-02-20 04:20:00,Zone C,Truck,81.42,Low,0.55,Storm,Tuesday,0,44.78
2024-01-12 07:14:00,Zone C,Truck,44.33,Low,0.66,Fog,Friday,0,29.26
2024-02-01 11:53:00,Zone C,Bike,87.67,Medium,0.51,Rain,Thursday,1,53.65
2024-01-12 09:26:00,Zone C,Bike,69.15,Low,0.94,Rain,Friday,0,65.0
2024-01-16 13:59:00,Zone C,Bike,87.4,High,0.49,Clear,Tuesday,0,64.24
2024-01-08 09:26:00,Zone A,Bike,72.09,High,0.63,Storm,Monday,0,68.13
2024-02-15 07:58:00,Zone C,Bike,71.35,Medium,0.72,Storm,Thursday,0,61.65
2024-03-03 08:23:00,Zone B,Bike,56.28,High,0.92,Clear,Sunday,0,77.67
2024-02-10 00:19:00,Zone B,Bus,57.16,Medium,0.48,Rain,Saturday,1,32.92
2024-03-06 09:17:00,Zone B,Bike,98.03,Low,0.87,Fog,Wednesday,0,85.29
2024-01-30 01:07:00,Zone A,Bus,29.8,Medium,0.7,Rain,Tuesday,0,25.03
2024-01-09 19:29:00,Zone A,Bike,95.63,High,0.55,Storm,Tuesday,0,78.89
2024-01-15 12:52:00,Zone B,Bike,35.19,Low,0.77,Storm,Monday,1,27.1
2024-02-15 09:33:00,Zone B,Bus,21.85,Medium,0.73,Storm,Thursday,0,19.14
2024-01-20 13:59:00,Zone C,Bike,23.89,Medium,0.61,Storm,Saturday,1,17.49
2024-01-27 00:13:00,Zone C,Car,87.77,Medium,0.71,Rain,Saturday,1,74.78
2024-03-07 05:15:00,Zone B,Bus,49.27,Medium,0.64,Clear,Thursday,0,37.84
2024-02-02 23:56:00,Zone C,Bike,25.88,High,0.72,Storm,Friday,1,27.95
2024-02-26 17:29:00,Zone C,Car,30.29,Low,0.8,Storm,Monday,1,24.23
2024-01-31 20:44:00,Zone C,Bike,80.4,Low,0.94,Storm,Wednesday,0,75.58
2024-01-05 02:58:00,Zone A,Truck,77.09,Medium,0.51,Storm,Friday,0,47.18
2024-02-25 04:23:00,Zone C,Truck,46.24,High,1.0,Fog,Sunday,0,69.36
2024-02-05 18:25:00,Zone C,Bike,67.5,High,0.41,Storm,Monday,1,41.51
2024-02-13 05:25:00,Zone A,Bike,46.5,Low,0.68,Storm,Tuesday,1,31.62
2024-03-07 00:29:00,Zone C,Car,67.75,Medium,0.79,Rain,Thursday,0,64.23
2024-02-23 02:43:00,Zone B,Truck,61.94,High,0.74,Storm,Friday,0,68.75
2024-03-02 23:04:00,Zone A,Car,65.81,High,0.61,Clear,Saturday,0,60.22
2024-01-02 17:22:00,Zone B,Bike,53.5,Medium,0.67,Rain,Tuesday,1,43.01
